,Total_Stops,Price,Duration_total,Dep_hour,weekday_name_Monday,weekday_name_Saturday,weekday_name_Sunday,weekday_name_Thursday,weekday_name_Tuesday,weekday_name_Wednesday,Add_col_1,Add_col_2,Add_col_3,Air_col_1,Air_col_2,Air_col_3,Air_col_4,Air_col_5,Air_col_6
81,0,7229,160,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,1,13941,1330,06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,1,5894,575,11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
84,1,10197,600,09,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1,13712,1280,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,1,5636,325,02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,2,13014,1125,09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,1,7064,740,08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,1,10703,1080,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,1,9646,555,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,1,17057,665,02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,1,13817,1050,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,2,13748,800,05,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,0,4880,155,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
95,0,3540,145,05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,0,3257,160,05,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
97,0,6478,180,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
98,0,8040,85,07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,2,14300,995,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,14781,740,08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,1,14939,735,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,10262,450,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103,1,6528,1440,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
104,0,6121,165,06,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
105,2,13029,535,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
106,1,11421,430,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
107,1,7574,870,04,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
108,2,11596,1820,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
109,2,15129,1195,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,13555,900,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,5780,175,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
112,1,9397,765,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113,1,17024,610,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,5281,355,07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,1,10348,925,07,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
116,1,12677,965,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,1,15147,610,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
118,0,4668,160,07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,1,15554,715,07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,0,3971,160,05,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
121,0,3100,85,15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
122,1,9663,845,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
123,1,27430,1215,23,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
124,0,3540,145,05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
125,2,10676,1390,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
126,1,13044,1090,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,14388,960,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,0,3943,170,04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,0,3597,140,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
130,1,5932,480,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
131,1,10262,1015,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
132,0,6216,190,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
133,0,4804,165,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
134,1,14067,840,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
135,2,15129,1430,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2,13376,1300,06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,2,10441,1275,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
138,0,4030,165,06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,1,17024,650,08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,1,13017,480,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
141,1,6686,495,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,1,5636,325,02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
143,1,6442,515,07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,1,9486,710,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
145,1,10844,1655,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
146,2,15318,505,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
147,1,5117,1255,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,1,6147,290,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
149,1,7005,490,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,0,3873,140,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,2,9270,1465,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
152,0,3898,170,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,1,14781,740,08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,1,8586,735,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
155,2,10697,1415,08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
156,2,14300,995,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,0,8855,170,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
158,1,10844,1545,16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
159,1,17024,1570,02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,9314,1730,09,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
161,0,4777,165,00,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
162,1,7662,1515,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,1,6442,560,06,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
164,1,5264,270,08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,1,12898,925,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,0,6092,90,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
167,0,3311,160,05,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
168,1,6540,550,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
169,0,3419,165,01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,1,5177,1355,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,0,8246,185,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
172,1,14676,690,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,13587,570,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
174,1,9663,730,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
175,1,13044,1055,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1,5073,305,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
177,1,9345,1550,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
178,1,9663,1200,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
179,1,14277,780,08,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
180,1,10262,1105,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
181,0,5678,90,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,1,13727,570,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
183,1,9663,960,20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
184,0,3858,140,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
185,1,4812,270,08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,1,5775,345,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
187,1,10539,1450,09,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
188,0,4804,155,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
189,0,3383,165,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
190,1,8738,295,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
191,1,7165,1535,05,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
192,1,6412,380,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,0,8016,185,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,1,11087,1120,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
195,0,3543,135,09,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
196,1,12471,730,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1,10262,1165,09,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
198,0,4441,170,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199,1,12537,505,07,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
200,1,10091,555,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201,0,6961,170,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
202,0,5013,195,05,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
203,0,6934,170,05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
204,1,10877,740,06,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
205,0,7229,175,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,1,7048,575,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
207,0,4878,155,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
208,1,10844,570,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
209,2,15129,1760,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,3943,175,00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
211,1,5583,315,06,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
212,1,9646,545,07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
213,1,7677,645,08,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
214,1,6842,295,05,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
215,0,4995,90,08,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,1,9555,700,07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,0,4077,165,01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
218,0,7229,175,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
219,1,12192,600,09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
220,0,5911,165,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
221,1,8372,615,09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,0,4995,85,07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
223,1,14323,555,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
224,2,13014,1375,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2,13591,1730,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
226,2,18799,2245,05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,0,3943,170,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
228,0,1965,90,05,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
229,0,4995,90,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230,1,14641,1540,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
231,0,4460,155,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
232,1,10191,375,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
233,1,13843,1050,02,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
234,1,6349,345,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
235,0,4409,155,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
236,1,17024,1530,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1,13727,835,07,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
238,0,8855,175,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
239,1,12524,615,08,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
240,1,13555,520,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1,10844,330,06,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
242,1,13587,720,09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,0,3543,135,09,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
244,0,4842,135,07,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,0,3943,170,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
246,1,10577,550,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
247,1,6979,625,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
248,0,11982,140,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
249,1,5264,270,08,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
250,0,8001,190,06,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
251,2,10651,1410,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
252,1,10844,1640,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,1,6601,755,09,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
254,1,6587,1455,19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
255,0,3173,80,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
256,0,5228,165,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
257,0,5769,180,07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
258,1,14714,660,08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,2,13014,810,05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,0,3359,170,22,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
261,0,6722,175,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
262,0,4462,165,09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
263,1,6171,675,04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
264,2,12303,875,05,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
265,1,7695,835,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
266,1,5684,845,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
267,1,8366,905,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
268,0,19630,135,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
269,1,13502,900,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270,1,14781,775,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271,1,6513,540,07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
272,1,9929,735,07,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
273,2,18275,460,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
274,1,4487,1640,06,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
275,0,2754,85,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
276,0,2575,80,06,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
277,1,8224,330,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
278,1,8991,705,20,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
279,0,5000,195,05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
280,1,8529,1495,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
281,1,14042,1640,06,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
282,0,4030,175,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
283,1,10844,1025,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
284,0,4804,160,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
285,1,7308,480,17,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
286,0,4823,180,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
287,1,10262,1655,09,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
288,1,12898,450,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
289,2,12778,1375,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
290,1,14871,515,04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
291,2,8708,1795,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
292,1,10844,1335,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
293,0,4129,80,05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
294,0,4804,160,21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
295,0,7229,180,08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
296,1,7832,730,07,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
297,0,3859,155,09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
298,1,9001,705,07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
299,0,4878,155,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
300,0,2754,90,02,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
301,0,4668,160,07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
302,0,5216,155,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
303,2,10368,1375,05,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
304,2,8146,880,06,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
305,1,12242,925,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
306,1,9134,435,08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
307,2,10939,1210,13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
308,2,11753,1245,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
309,0,4174,150,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
310,1,10844,1430,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
311,1,14714,1620,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
312,1,9899,330,06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
313,1,14871,710,09,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
314,0,7295,135,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
315,2,13465,1470,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
316,0,3543,140,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
317,1,7198,390,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
318,1,10262,1225,08,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
319,0,4148,155,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320,0,8016,175,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,1,10262,335,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
322,0,3841,150,14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
323,1,11507,885,09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
324,1,14781,740,08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
325,1,16079,1530,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,1,12898,335,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
327,1,15353,705,07,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
328,0,7303,175,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
329,1,6197,340,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
330,1,8996,245,09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
331,1,6528,480,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
